Len_min,N_clusters,K_neighb,Silh,St_edges
25,2,4,0.7020081762140187,[  0  44 357]
30,2,4,0.7020081762140187,[  0  44 357]
35,2,4,0.7020081762140187,[  0  44 357]
25,2,5,0.7020081762140187,[  0  44 357]
30,2,5,0.7020081762140187,[  0  44 357]
35,2,5,0.7020081762140187,[  0  44 357]
25,2,6,0.7020081762140187,[  0  44 357]
30,2,6,0.7020081762140187,[  0  44 357]
35,2,6,0.7020081762140187,[  0  44 357]
25,2,7,0.7020081762140187,[  0  44 357]
30,2,7,0.7020081762140187,[  0  44 357]
35,2,7,0.7020081762140187,[  0  44 357]
25,2,8,0.7020081762140187,[  0  44 357]
30,2,8,0.7020081762140187,[  0  44 357]
35,2,8,0.7020081762140187,[  0  44 357]
25,2,9,0.7020081762140187,[  0  44 357]
30,2,9,0.7020081762140187,[  0  44 357]
35,2,9,0.7020081762140187,[  0  44 357]
25,2,10,0.7020081762140187,[  0  44 357]
30,2,10,0.7020081762140187,[  0  44 357]
35,2,10,0.7020081762140187,[  0  44 357]
25,3,4,0.07871039836614267,[  0  44 325 357]
30,3,4,0.07871039836614267,[  0  44 325 357]
35,3,4,0.07871039836614267,[  0  44 357]
25,3,5,0.07277761297424043,[  0  44 323 357]
30,3,5,0.07277761297424043,[  0  44 323 357]
35,3,5,0.07277761297424043,[  0  44 357]
25,3,6,0.03994605850727089,[  0  44 295 323 357]
30,3,6,0.03994605850727089,[  0  44 323 357]
35,3,6,0.03994605850727089,[  0  44 357]
25,3,7,0.04015129152996042,[  0  44 286 323 357]
30,3,7,0.04015129152996042,[  0  44 286 323 357]
35,3,7,0.04015129152996042,[  0  44 286 357]
25,3,8,0.04015129152996042,[  0  44 286 323 357]
30,3,8,0.04015129152996042,[  0  44 286 323 357]
35,3,8,0.04015129152996042,[  0  44 286 357]
25,3,9,0.029951653861458625,[  0  41 170 357]
30,3,9,0.029951653861458625,[  0  41 170 357]
35,3,9,0.029951653861458625,[  0  41 170 357]
25,3,10,0.04015129152996042,[  0  44 286 323 357]
30,3,10,0.04015129152996042,[  0  44 286 323 357]
35,3,10,0.04015129152996042,[  0  44 286 357]
25,4,4,0.006148752664927068,[  0  41 171 325 357]
30,4,4,0.006148752664927068,[  0  41 171 325 357]
35,4,4,0.006148752664927068,[  0  41 171 357]
25,4,5,0.006036574996803065,[  0  41 164 323 357]
30,4,5,0.006036574996803065,[  0  41 164 323 357]
35,4,5,0.006036574996803065,[  0  41 164 357]
25,4,6,0.004081908415069613,[  0  41 169 323 357]
30,4,6,0.004081908415069613,[  0  41 169 323 357]
35,4,6,0.004081908415069613,[  0  41 169 357]
25,4,7,0.008231715969579355,[  0  41 170 323 357]
30,4,7,0.008231715969579355,[  0  41 170 323 357]
35,4,7,0.008231715969579355,[  0  41 170 357]
25,4,8,0.028170984775991833,[  0  41 157 286 323 357]
