Method,Silh,Cal-Har,Dav-Bold
stages_med_3_25_7_10,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mode_3_25_7_10,-0.005451826809223475,7.459566959062305,4.919120172590769
stages_mean_3_25_7_10,0.00929105931851891,7.956981237600556,5.425803341973901
stages_med_4_25_7_10,-0.015454230378592606,7.43797809797391,5.223858597347208
stages_mode_4_25_7_10,-0.01190130323201428,7.083234433810467,5.394300419431882
stages_mean_4_25_7_10,-0.013315204053856475,6.638808418300487,5.602318848899235
stages_med_5_25_7_10,-0.016177145431411848,7.297864705917986,4.836309461522535
stages_mode_5_25_7_10,-0.014081437244595218,7.301575591042426,4.817053051649637
stages_mean_5_25_7_10,-0.015698354054345325,6.254343792029622,5.104255862791067
stages_med_6_25_7_10,-0.030861838357341537,6.836606524343576,4.628175405163439
stages_mode_6_25_7_10,-0.02948047916333762,6.839646367975682,4.5933795021647965
stages_mean_6_25_7_10,-0.03117150946403844,6.388642863001077,4.805383718030131
stages_med_7_25_7_10,-0.04187431174180571,6.008007046436309,5.307880303431936
stages_mode_7_25_7_10,-0.03980252353515643,6.0482650038615455,5.248831581724853
stages_mean_7_25_7_10,-0.04247449125521256,5.834346695373044,5.367671986812406
stages_med_8_25_7_10,-0.12124167699261222,5.370261201314214,5.265190505370051
stages_mode_8_25_7_10,-0.12077718365391994,5.404964547885587,5.2284019522908896
stages_mean_8_25_7_10,-0.040451305879976474,5.139768587331198,5.472594141690156
stages_med_9_25_7_10,-0.12660462697028502,4.943855945780928,4.98362830746749
stages_mode_9_25_7_10,-0.13041648472711165,4.950542827717662,4.9846707641475625
stages_mean_9_25_7_10,-0.06591510686863135,4.775400796767312,5.193900324651724
stages_med_10_25_7_10,-0.10634794508748398,11.179229313695982,4.592452366278955
stages_mode_10_25_7_10,-0.11009253266431009,11.187181352974504,4.598828496608146
stages_mean_10_25_7_10,-0.10687516396104114,11.118970317235947,4.625294236447713
stages_med_11_25_7_10,-0.1081603070594264,10.243667679936909,4.47932131212962
stages_mode_11_25_7_10,-0.11189095992057171,10.24098438339957,4.456184682546984
stages_mean_11_25_7_10,-0.10869808679206813,10.189077813326104,4.508873024972714
stages_med_12_25_7_10,-0.12468884010342375,9.377298793415413,4.295592717581113
stages_mode_12_25_7_10,-0.1277847442860865,9.3748554864318,4.274384140463698
stages_mean_12_25_7_10,-0.12522262711001905,9.327591483077446,4.322681787687284
stages_med_13_25_7_10,-0.13316780672270223,8.68618496644661,4.019665693650754
stages_mode_13_25_7_10,-0.13316780672270223,8.68618496644661,4.019665693650754
stages_mean_13_25_7_10,-0.13372245001319974,8.640470529363855,4.044268049883844
stages_med_3_25_7_15,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mode_3_25_7_15,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mean_3_25_7_15,0.007203196982956225,7.850474310043293,5.464385179599202
stages_med_4_25_7_15,-0.01253515640664525,6.9090671068244855,5.552599426025861
stages_mode_4_25_7_15,-0.02338738273344021,6.688762781905055,6.081261767451416
stages_mean_4_25_7_15,-0.012151545175581093,6.318399926194809,5.8954695813569895
stages_med_5_25_7_15,-0.016334127550800517,7.185683194931746,4.864679419406353
stages_mode_5_25_7_15,-0.021597150623365,6.9937697767520515,5.329907249180858
stages_mean_5_25_7_15,-0.014842539788915095,5.9495793567744375,5.585689345315316
stages_med_6_25_7_15,-0.030831782576564434,6.7447123524608035,4.646077462357851
stages_mode_6_25_7_15,-0.037631887651753966,6.3343360323750595,4.972961303277104
stages_mean_6_25_7_15,-0.031009079499415875,6.357642247464353,4.924393250201997
stages_med_7_25_7_15,-0.04226523324092119,5.958995963460973,5.4701292058270665
stages_mode_7_25_7_15,-0.04419547886597509,5.6644292929780065,5.555970401355346
stages_mean_7_25_7_15,-0.04295129363551813,5.910568725705831,5.407654114173667
stages_med_8_25_7_15,-0.04364665897107933,5.547171392516672,5.179032204732526
